text,priority
Urgent: server is down,High
Immediate response required for client complaint,High
Payment failed for customer account,High
Critical bug found in production,High
Security breach detected on system,High
Submit assignment before 5 PM today,High
Interview scheduled for tomorrow morning,High
Database backup failed overnight,High
Client waiting for revised quotation today,High
Application deadline ends tonight,High
Production deployment failed,High
Emergency meeting in 10 minutes,High
Account locked due to suspicious activity,High
Project presentation moved to today,High
Scholarship documents pending urgent submission,High
Hostel fee payment overdue,High
Final exam timetable changed,High
Laptop stolen from office,High
Website is not accessible to users,High
Need approval immediately for release,High
Urgent: server is down,High
Immediate response required for client complaint,High
Payment failed for customer account,High
Critical bug found in production,High
Security breach detected on system,High
Submit assignment before 5 PM today,High
Interview scheduled for tomorrow morning,High
Database backup failed overnight,High
Client waiting for revised quotation today,High
Application deadline ends tonight,High
Production deployment failed,High
Emergency meeting in 10 minutes,High
Account locked due to suspicious activity,High
Project presentation moved to today,High
Scholarship documents pending urgent submission,High
Hostel fee payment overdue,High
Final exam timetable changed,High
Laptop stolen from office,High
Website is not accessible to users,High
Need approval immediately for release,High
Urgent: server is down,High
Immediate response required for client complaint,High
Payment failed for customer account,High
Critical bug found in production,High
Security breach detected on system,High
Submit assignment before 5 PM today,High
Interview scheduled for tomorrow morning,High
Database backup failed overnight,High
Client waiting for revised quotation today,High
Application deadline ends tonight,High
Production deployment failed,High
Emergency meeting in 10 minutes,High
Account locked due to suspicious activity,High
Project presentation moved to today,High
Scholarship documents pending urgent submission,High
Hostel fee payment overdue,High
Final exam timetable changed,High
Laptop stolen from office,High
Website is not accessible to users,High
Need approval immediately for release,High
Urgent: server is down,High
Immediate response required for client complaint,High
Payment failed for customer account,High
Critical bug found in production,High
Security breach detected on system,High
Submit assignment before 5 PM today,High
Interview scheduled for tomorrow morning,High
Database backup failed overnight,High
Client waiting for revised quotation today,High
Application deadline ends tonight,High
Production deployment failed,High
Emergency meeting in 10 minutes,High
Account locked due to suspicious activity,High
Project presentation moved to today,High
Scholarship documents pending urgent submission,High
Hostel fee payment overdue,High
Final exam timetable changed,High
Laptop stolen from office,High
Website is not accessible to users,High
Need approval immediately for release,High
Please review the project report,Medium
Team meeting scheduled for tomorrow,Medium
Share the updated presentation,Medium
Reminder to complete feedback form,Medium
Discuss project requirements this week,Medium
Please update task status,Medium
Weekly progress review meeting,Medium
Need comments on draft document,Medium
Schedule a call for project discussion,Medium
Please send attendance sheet,Medium
Workshop registration confirmation,Medium
Request for internship certificate,Medium
Kindly check the attached assignment,Medium
Project discussion postponed to next week,Medium
Please update your resume for placement drive,Medium
Can we meet tomorrow afternoon,Medium
Share meeting notes when available,Medium
Reminder to upload lab record,Medium
Need clarification on coding task,Medium
Please review my resume once,Medium
Please review the project report,Medium
Team meeting scheduled for tomorrow,Medium
Share the updated presentation,Medium
Reminder to complete feedback form,Medium
Discuss project requirements this week,Medium
Please update task status,Medium
Weekly progress review meeting,Medium
Need comments on draft document,Medium
Schedule a call for project discussion,Medium
Please send attendance sheet,Medium
Workshop registration confirmation,Medium
Request for internship certificate,Medium
Kindly check the attached assignment,Medium
Project discussion postponed to next week,Medium
Please update your resume for placement drive,Medium
Can we meet tomorrow afternoon,Medium
Share meeting notes when available,Medium
Reminder to upload lab record,Medium
Need clarification on coding task,Medium
Please review my resume once,Medium
